ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
5.319769072934949,204.20207196666613,22390.79556563065,8.053558881344857,315.02750450181634,399.1190254238941,13.97408472536074,83.15799710462976,2.925732039706137,0
10.53809844277246,200.13982871773047,13867.244195734918,7.365015093298825,409.4467298474219,340.8088227507881,17.073123080434357,72.73063947852148,3.823092676110029,1
6.548017642485212,176.0065361472179,38368.012617715474,7.415053893783208,278.09330932124794,291.1215276429696,19.422535020533644,81.36856759048145,5.930227576581439,0
7.675913621057367,233.3007587362074,23673.10060598764,8.407497057013636,,232.61362402653705,18.459407785418875,60.99359036387728,5.040460814701462,0
4.633202516472866,208.9080360528162,29307.12894458043,6.125585211067605,304.0317762783531,456.2148284792014,10.817158134503416,111.11530965742848,4.751858815287916,0
7.445189293060908,225.39778687678492,24741.53499922928,9.24849917832494,,402.11561603216313,15.53597901395375,87.08391927495543,3.637894581214215,0
7.976900873677573,234.77937964525077,15360.8350680644,5.73602687789666,377.1781188796557,613.633547710373,14.191273810530902,48.91588146186728,4.7536079310394825,1
4.668101687405915,193.68173547507868,47580.99160333534,7.166638935482532,359.94857436696,526.4241709223593,13.894418518194527,66.68769478539706,4.4358209095098,1
6.581082756075466,217.53850402153955,24480.671795007485,5.837151801943094,310.63291048911015,476.4586674162528,11.434239357597336,48.55190969041968,3.511369718286504,0
4.497585145008658,193.93651490709837,27768.382870133544,6.9063478052980125,330.4307003631261,556.0329223405597,22.618411189092,81.2658162848684,4.965738556348034,0
